City_ID,City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Current Description
112,Kaeo,NZ,-35.1,173.7833,80.33,69,99,2.91,overcast clouds
113,Pevek,RU,69.7008,170.3133,-15.97,100,89,0.49,overcast clouds
114,Norrtalje,SE,59.758,18.705,31.01,85,99,2.45,overcast clouds
115,Khatanga,RU,71.9667,102.5,-8.03,94,57,2.33,broken clouds
116,Mackay,AU,-21.15,149.2,85.68,67,41,6.58,scattered clouds
117,Puerto El Triunfo,SV,13.2833,-88.55,80.76,60,1,3.6,clear sky
118,Hokitika,NZ,-42.7167,170.9667,66.0,72,93,2.8,overcast clouds
119,The Valley,AI,18.217,-63.0578,78.1,67,1,9.61,clear sky
120,Muscat,OM,23.6139,58.5922,66.22,61,0,1.66,clear sky
121,Muros,ES,42.7762,-9.0603,58.08,96,99,3.45,overcast clouds
122,Adrar,MR,20.5022,-10.0711,58.82,12,98,3.72,overcast clouds
123,Yerbogachen,RU,61.2767,108.0108,-9.02,81,98,4.0,overcast clouds
124,San Policarpo,PH,12.1791,125.5072,80.06,78,63,1.3,broken clouds
125,Quelimane,MZ,-17.8786,36.8883,73.42,94,86,1.09,overcast clouds
126,Nyurba,RU,63.2842,118.3319,-26.3,96,49,2.13,scattered clouds
127,Tallahassee,US,30.4383,-84.2807,70.0,90,0,0.45,clear sky
128,Udachnyy,RU,66.4167,112.4,2.44,77,100,8.26,overcast clouds
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.1,96,100,3.25,overcast clouds
130,Dingle,PH,10.9995,122.6711,77.9,86,73,3.17,broken clouds
131,Palmer,US,42.1584,-72.3287,37.92,81,100,1.79,light rain
132,Castro,BR,-24.7911,-50.0119,57.15,92,72,1.5,broken clouds
133,Bagan,RU,54.1001,77.6646,-6.47,98,27,3.29,scattered clouds
134,Houma,US,29.5958,-90.7195,75.02,87,33,0.89,scattered clouds
135,Vanino,RU,49.0869,140.2543,1.11,83,66,2.57,broken clouds
136,Ancud,CL,-41.8697,-73.8203,66.42,90,51,2.46,broken clouds
137,Gat,IL,31.61,34.7642,55.4,37,38,4.08,scattered clouds
138,Krasnoselkup,RU,65.7,82.4667,-6.9,98,100,4.06,overcast clouds
139,Tuktoyaktuk,CA,69.4541,-133.0374,-28.16,99,63,3.1,broken clouds
140,Kichera,RU,55.9375,110.0997,-12.87,76,1,2.03,clear sky
141,Trairi,BR,-3.2778,-39.2689,78.6,78,100,3.19,overcast clouds
142,Kenai,US,60.5544,-151.2583,16.09,50,100,10.29,overcast clouds
143,Morada Nova,BR,-5.1067,-38.3725,79.86,74,97,3.32,moderate rain
144,Mao,ES,39.8885,4.2658,52.36,82,20,0.51,few clouds
145,Bairiki,KI,1.3292,172.9752,81.41,77,90,6.43,overcast clouds
146,Itubera,BR,-13.7322,-39.1492,74.25,93,100,1.67,heavy intensity rain
147,Hithadhoo,MV,-0.6,73.0833,81.45,74,27,2.88,scattered clouds
148,Ilo,PE,-17.6394,-71.3375,70.18,86,53,1.98,broken clouds
149,Dikson,RU,73.5069,80.5464,-12.53,100,99,2.72,overcast clouds
150,Kavaratti,IN,10.5669,72.642,79.7,69,20,3.97,few clouds
151,Ponta Do Sol,PT,32.6667,-17.1,66.13,36,99,4.46,overcast clouds
152,Sucre,BO,-19.0333,-65.2627,59.16,73,96,2.24,overcast clouds
153,Bireun,ID,5.203,96.7009,76.69,84,97,1.76,overcast clouds
154,Severo-Kurilsk,RU,50.6789,156.125,30.72,87,86,4.71,overcast clouds
155,Hay River,CA,60.8156,-115.7999,-18.47,98,100,0.85,overcast clouds
156,Hue,VN,16.4667,107.6,68.11,100,40,0.51,mist
157,Tanout,NE,14.9709,8.8879,56.39,19,0,6.95,clear sky
158,Suntar,RU,62.1444,117.6319,-29.67,98,16,2.05,few clouds
159,Namatanai,PG,-3.6667,152.4333,84.02,68,90,2.32,overcast clouds
160,Iqaluit,CA,63.7506,-68.5145,-27.31,67,73,5.36,broken clouds
161,Zhaoyang,CN,42.682,126.0305,6.08,91,99,0.22,overcast clouds
162,Itarema,BR,-2.9248,-39.9167,80.02,74,100,4.7,overcast clouds
163,Tezu,IN,27.9167,96.1667,62.8,47,99,1.36,overcast clouds
164,Bartica,GY,6.4,-58.6167,73.72,91,43,1.34,scattered clouds
165,Warrington,GB,53.3925,-2.5802,44.85,90,20,2.06,few clouds
166,Fortuna,US,40.5982,-124.1573,62.91,70,20,0.0,few clouds
