City_ID,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
669,Puebloviejo,CO,84.38,few clouds,10.9938,-74.2844,The Journey Hostel
670,Tambura,SS,76.84,overcast clouds,5.6,27.4667,Rikito Lodge
672,Chirongui,YT,78.73,overcast clouds,-12.9319,45.1483,La Villa Mahatsara
677,Harlingen,US,78.89,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
682,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
683,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
684,Ende,ID,82.04,light rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
687,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
690,Cabedelo,BR,80.91,clear sky,-6.9811,-34.8339,Hotel Pigalle
693,Mayumba,GA,76.78,overcast clouds,-3.432,10.6554,LIKWALE LODGE
694,Gigmoto,PH,79.21,broken clouds,13.7796,124.39,Cj's Travellers Inn
698,Caravelas,BR,76.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
699,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
704,Abonnema,NG,78.98,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
705,Linay,PH,79.0,broken clouds,8.5167,123.1333,Harold Cabrera Cottage
